Entry ID,Lemma ID,Dominant Translation,Lexical Class,SignBank Semantic Field,Sign Type,Handshape,Nondominant Handshape,Selected Fingers,numberOfSelectedFingers,i,m,r,p,t,Thumb Position,Path Movement,Repeated Movement,Major Location,Minor Location,Contact,Frequency,Non-Signer Iconicity,Phonological Complexity,Neighborhood Density,Handshape Image,ASLlexURL
angry,angry,angry,Adjective,Emotion,Symmetrical Or Alternating,5,5,imrp,4,1,1,1,1,0,Open,Curved,0,Body,Torso Top,1,4.96,2.741,2,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/5.png"" />",https://asl-lex.org/visualization/?sign=angry
bird,bird,bird,Noun,Animal,One Handed,g,N/A,i,1,1,0,0,0,0,Open,None,1,Head,Mouth,1,5.161,4.553,1,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/g.png"" />",https://asl-lex.org/visualization/?sign=bird
boss,boss,boss,Noun,People,One Handed,curved_5,N/A,imrp,4,1,1,1,1,0,Open,Straight,1,Body,Shoulder,1,5.24,1.8,1,4,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/curved_5.png"" />",https://asl-lex.org/visualization/?sign=boss
corn_2,corn_2,corn,Noun,Food,Symmetrical Or Alternating,curved_5,curved_5,imrp,4,1,1,1,1,0,Open,None,1,Head,Head Away,0,2,3.692,1,4,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/curved_5.png"" />",https://asl-lex.org/visualization/?sign=corn_2
dinosaur,dinosaur,dinosaur,Noun,Animal,One Handed,o,N/A,imrp,4,1,1,1,1,0,Open,Straight,1,Neutral,Neutral,0,2.333,3.564,1,4,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/o.png"" />",https://asl-lex.org/visualization/?sign=dinosaur
duck,duck,duck,Noun,Animal,One Handed,flat_h,N/A,im,2,1,1,0,0,0,Open,None,1,Head,Mouth,1,3.37,4.5,2,2,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_h.png"" />",https://asl-lex.org/visualization/?sign=duck
engineer,engineer,engineer,Noun,People,Dominance Violation,y,Dominance Condition Violation,p,1,0,0,0,1,0,Open,None,1,Hand,Finger Tip,1,3.48,1.857,1,0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/y.png"" />",https://asl-lex.org/visualization/?sign=engineer
happy,happy,happy,Adjective,Emotion,One Handed,open_b,N/A,imrp,4,1,1,1,1,0,Open,Curved,1,Body,Torso Top,1,5.7,3.25,2,4,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />",https://asl-lex.org/visualization/?sign=happy
inside,inside,inside,Adjective,Locative,Asymmetrical Same Handshape,o,o,imrp,4,1,1,1,1,0,Open,Straight,1,Hand,Other,1,5.536,5.55,1,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/o.png"" />",https://asl-lex.org/visualization/?sign=inside
italy,italy,italy,Name,Place,One Handed,curved_l,N/A,i,1,1,0,0,0,0,Open,Z-shaped,0,Neutral,Neutral,0,2.92,1.733,3,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/curved_l.png"" />",https://asl-lex.org/visualization/?sign=italy
japan,japan,japan,Name,Place,Symmetrical Or Alternating,g,g,i,1,1,0,0,0,0,Open,Straight,1,Neutral,Neutral,1,2.565,1.114,1,6,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/g.png"" />",https://asl-lex.org/visualization/?sign=japan
lobster,lobster,lobster,Noun,Animal,Symmetrical Or Alternating,o,o,imrp,4,1,1,1,1,0,Open,None,1,Neutral,Neutral,0,2.923,4.833,1,2,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/o.png"" />",https://asl-lex.org/visualization/?sign=lobster
mouse,mouse,mouse,Noun,Animal,One Handed,1,N/A,i,1,1,0,0,0,0,Closed,Straight,1,Head,Cheek Nose,1,3.36,2.952,1,15,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />",https://asl-lex.org/visualization/?sign=mouse
nephew,nephew,nephew,Noun,People,One Handed,flat_n,N/A,im,2,1,1,0,0,0,Closed,None,1,Head,Head Away,0,2.621,1.108,2,0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_n.png"" />",https://asl-lex.org/visualization/?sign=nephew
new_york,new_york,new york,Noun,Place,Asymmetrical Different Handshape,y,B,p,1,0,0,0,1,0,Open,Straight,1,Hand,Palm,1,3.68,1,3,2,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/y.png"" />",https://asl-lex.org/visualization/?sign=new_york
next_to,next_to,next to,Minor,Locative,Asymmetrical Same Handshape,flat_b,flat_b,imrp,4,1,1,1,1,0,Open,Curved,0,Hand,Finger Back,1,4.704,5.382,2,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_b.png"" />",https://asl-lex.org/visualization/?sign=next_to
one,one,one,Noun,Number,One Handed,1,N/A,i,1,1,0,0,0,0,Closed,Straight,0,Neutral,Neutral,0,6.148,6.97,1,22,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />",https://asl-lex.org/visualization/?sign=one
onion,onion,onion,Noun,Food,One Handed,bent_1,N/A,i,1,1,0,0,0,0,Closed,None,1,Head,Eye,1,5.28,4.286,1,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/bent_1.png"" />",https://asl-lex.org/visualization/?sign=onion
over,over,over,Minor,Locative,Asymmetrical Same Handshape,closed_b,closed_b,imrp,4,1,1,1,1,0,Closed,Curved,0,Hand,Finger Radial,0,5.074,0,2,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />",https://asl-lex.org/visualization/?sign=over
philadelphia,philadelphia,philadelphia,Name,Place,One Handed,p,N/A,im,2,1,1,0,0,0,Open,Back And Forth,0,Neutral,Neutral,0,3.37,1.261,5,2,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/p.png"" />",https://asl-lex.org/visualization/?sign=philadelphia
potato,potato,potato,Noun,Food,Asymmetrical Different Handshape,bent_v,C,im,2,1,1,0,0,0,Closed,Straight,1,Hand,Palm Back,1,4.8,1.143,3,0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/bent_v.png"" />",https://asl-lex.org/visualization/?sign=potato
russia_2,russia,russia,Name,Place,One Handed,1,N/A,i,1,1,0,0,0,0,Closed,Back And Forth,0,Head,Mouth,1,3.111,1.613,3,16,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />",https://asl-lex.org/visualization/?sign=russia_2
sad,sad,sad,Adjective,Emotion,Symmetrical Or Alternating,5,5,imrp,4,1,1,1,1,0,Open,Straight,0,Head,Head Away,0,5.24,5.8,1,2,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/5.png"" />",https://asl-lex.org/visualization/?sign=sad
spaghetti,spaghetti,spaghetti,Noun,Food,Symmetrical Or Alternating,i,i,p,1,0,0,0,1,0,Closed,Circular,1,Neutral,Neutral,0,3.935,2.718,3,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/i.png"" />",https://asl-lex.org/visualization/?sign=spaghetti
squirrel,squirrel,squirrel,Noun,Animal,Dominance Violation,bent_v,Dominance Condition Violation,im,2,1,1,0,0,0,Closed,Straight,1,Hand,Finger Tip,1,2.8,2.917,2,1,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/bent_v.png"" />",https://asl-lex.org/visualization/?sign=squirrel
straight,straight,straight,Adjective,Attribute,One Handed,closed_b,N/A,imrp,4,1,1,1,1,0,Closed,Straight,0,Head,Forehead,1,5.571,6.16,1,8,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/closed_b.png"" />",https://asl-lex.org/visualization/?sign=straight
strawberry,strawberry,strawberry,Noun,Food,One Handed,f,N/A,i,1,1,0,0,0,0,Open,Straight,1,Head,Mouth,1,2.524,1.595,1,7,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/f.png"" />",https://asl-lex.org/visualization/?sign=strawberry
